time/episodes,time/fps,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,eval/mean_ep_length,eval/mean_reward
2116,105,0.0,873,92337,59.92,3.64,,
2120,105,0.0,876,92614,60.82,3.69,,
2124,105,0.0,877,92760,59.18,3.59,,
2128,105,0.0,880,93083,59.22,3.59,,
2132,105,0.0,881,93284,58.29,3.53,,
2136,105,0.0,886,93749,59.95,3.62,,
2140,105,0.0,888,93942,58.93,3.54,,
2144,105,0.0,890,94205,58.58,3.51,,
2148,105,0.0,892,94428,57.39,3.44,,
2152,105,0.0,894,94688,57.0,3.43,,
2156,105,0.0,897,94954,57.72,3.44,,
2160,105,0.0,899,95229,58.55,3.5,,
2164,105,0.0,901,95397,58.3,3.49,,
2168,105,0.0,904,95617,58.34,3.51,,
2172,105,0.0,906,95921,57.69,3.43,,
2176,105,0.0,908,96136,58.0,3.47,,
2180,105,0.0,910,96363,58.73,3.49,,
2184,105,0.0,912,96582,58.94,3.49,,
2188,105,0.0,913,96746,58.56,3.46,,
2192,105,0.0,916,97037,59.45,3.53,,
2196,105,0.0,919,97251,60.01,3.55,,
2200,105,0.0,921,97513,60.02,3.58,,
2204,105,0.0,923,97749,60.21,3.59,,
2208,105,0.0,925,97979,60.19,3.62,,
2212,105,0.0,928,98356,62.46,3.78,,
2216,105,0.0,930,98582,62.45,3.8,,
2220,105,0.0,934,98843,62.29,3.82,,
2224,105,0.0,936,99080,63.2,3.86,,
2228,105,0.0,938,99359,62.76,3.82,,
2232,105,0.0,940,99585,63.01,3.81,,
2236,105,0.0,941,99786,60.37,3.63,,
2240,105,0.0,943,99937,59.95,3.56,,
,,0.0,,100000,,,113.0,7.75
2244,105,0.0,953,100318,61.13,3.67,,
2248,105,0.0,956,100692,62.64,3.79,,
2252,105,0.0,959,100915,62.27,3.75,,
